,CPRO,LITPRO,CUMUN,LITMUN,CUDIS,ALQM2mes_LV_M_VC_21,time_pub_trans,time_priv_trans,str_line_dist,has_beach,has_parks,parks_surface,pt_lines,avg_inc_hh,ibi_urb,ibi_rur,cat_update,vpo,rented_houses_mitma,population,foreign_born_rate,superior_studies_rate,unemployment_rate,has_tram,has_metro,has_rodalies,has_fgc,pop_density,industrial_waste,population_growth,new_houses,mob_estud
49,8,Barcelona,8123,Molins de Rei,812304,8.3478875582169,45,45,11.85,0,1,41604.58,5,36012,0.584,0.9,2006,15,40,1014,0.0976,0.3125,0.1342,0,0,0,0,1637.6,5750.57,0.061780104712041886,5.6,0.82470961
50,8,Barcelona,8125,Montcada i Reixac,812501,8.11655405405405,22,45,10.88,0,1,35533.7,16,36110,0.626,0.9,2006,5,429,6164,0.2190261031797534,0.2942754218040234,0.1363171317326412,0,0,1,0,1567.7,44310.61,-0.04876543209876543,0.4,0.80613027
51,8,Barcelona,8125,Montcada i Reixac,812502,7.40740740740741,26,45,10.68,0,1,35533.7,16,33296,0.626,0.9,2006,5,316,6778,0.2260371496016524,0.2377192977279433,0.1891486131602243,0,0,1,0,1567.7,44310.61,0.1686206896551724,0.4,0.80613027
52,8,Barcelona,8125,Montcada i Reixac,812503,8.06451612903226,29,40,11.8,0,1,131655.0,16,39214,0.626,0.9,2006,5,474,11941,0.1226737459174273,0.3439827736370488,0.1223397789129889,0,0,1,0,1567.7,44310.61,0.1051365108745951,0.4,0.80613027
53,8,Barcelona,8125,Montcada i Reixac,812504,8.59573151871327,26,45,10.57,0,0,131655.0,16,43688,0.626,0.9,2006,5,113,3448,0.1392138051044083,0.3352744779582367,0.1372852668213457,0,0,1,0,1567.7,44310.61,-0.0020260492040520984,0.4,0.80613027
54,8,Barcelona,8125,Montcada i Reixac,812505,8.174885372151,24,40,9.34,0,1,35533.7,16,29213,0.626,0.9,2006,5,247,5410,0.2475203881700554,0.1720710166358595,0.2240166358595194,0,0,1,0,1567.7,44310.61,0.26697892271662765,0.4,0.80613027
55,8,Barcelona,8125,Montcada i Reixac,812506,7.77549514563107,31,40,8.38,0,0,35533.7,16,35707,0.626,0.9,2006,5,92,3120,0.103218141025641,0.2619853205128205,0.1319052564102564,0,1,0,0,1567.7,44310.61,-0.14520547945205478,0.4,0.80613027
56,8,Barcelona,8126,Montgat,812601,9.69893617021277,26,35,13.19,1,1,61994.93,6,42514,0.44,0.44,2006,0,587,12250,0.1242463020408163,0.4192673387755103,0.1071966693877551,0,0,1,0,4213.1,245.43,0.1374187558031569,5.6,0.71428571
57,8,Barcelona,8157,Pallejà,815701,8.78378378378378,47,45,14.91,0,1,7410.07,2,44987,0.44,0.9,2006,0,558,11640,0.09432714776632303,0.3831481013745704,0.09365048969072165,0,0,0,1,1401.9,935.37,0.05006765899864682,1.4,0.74883721
58,8,Barcelona,8905,"Palma de Cervelló, La",890501,8.25653427072315,67,55,17.02,0,0,20842.0,5,45963,0.84,0.5,1989,0,247,3015,0.09686069651741293,0.4489004975124378,0.1001756218905473,0,0,0,0,552.2,33.84,0.008361204013377926,0.3,0.33333333
59,8,Barcelona,8158,"Papiol, El",815801,7.57984630419332,45,55,14.49,0,1,3691.33,2,40187,0.58,0.52,2006,0,241,4228,0.1147122516556291,0.3594774834437086,0.1087264900662252,0,0,1,0,472.9,8765.43,0.05964912280701754,7.1,0.46621622
60,8,Barcelona,8169,"Prat de Llobregat, El",816901,9.62441314553991,36,26,8.64,0,1,130500.0,29,40338,0.575,0.449,1997,43,594,8824,0.1565221441523119,0.3607988893925658,0.1141561423390753,0,1,1,0,2086.3,33501.49,0.1527106466361855,1.9,0.87859581
61,8,Barcelona,8169,"Prat de Llobregat, El",816902,10.4901960784314,40,30,9.08,0,1,130500.0,29,37328,0.575,0.449,1997,43,689,12915,0.1413844057297716,0.3033324738675958,0.1121410530391018,0,1,1,0,2086.3,33501.49,0.048295454545454544,1.9,0.87859581
62,8,Barcelona,8169,"Prat de Llobregat, El",816903,9.8337631239639,34,26,9.58,0,1,143760.85,29,37760,0.575,0.449,1997,43,938,20123,0.1406896486607365,0.2833348307906376,0.1216486756447846,0,1,1,0,2086.3,33501.49,-0.06252038201723736,1.9,0.87859581
63,8,Barcelona,8169,"Prat de Llobregat, El",816904,7.04225352112676,36,30,10.33,1,1,143760.85,29,28760,0.575,0.449,1997,43,89,8134,0.1178791123678387,0.1233976395377428,0.2723916400295058,0,1,0,0,2086.3,33501.49,0.37514792899408284,1.9,0.87859581
64,8,Barcelona,8169,"Prat de Llobregat, El",816905,10.0864337165822,41,30,9.26,1,1,143760.85,29,38723,0.575,0.449,1997,43,686,15421,0.1306011477854873,0.2938766292717723,0.1126093184618377,0,1,0,0,2086.3,33501.49,0.0033181522446324007,1.9,0.87859581
65,8,Barcelona,8180,Ripollet,818001,8.4582894820768,45,50,12.74,0,0,13325.09,7,36080,0.748,0.558,2020,8,1224,26431,0.1343521622337407,0.3001928379554311,0.1354593507623624,0,0,0,0,9039.0,7893.67,0.08257218922793365,1.9,0.81458759
66,8,Barcelona,8180,Ripollet,818002,8.28271332335329,47,50,12.14,0,0,13325.09,7,31396,0.748,0.558,2020,8,671,12624,0.1999335630544994,0.2090574619771863,0.1890724493029151,0,0,0,0,9039.0,7893.67,-0.019114219114219115,1.9,0.81458759
67,8,Barcelona,8194,Sant Adrià de Besòs,819401,9.09090909090909,22,28,6.38,0,1,24984.74,21,36365,0.54,0.4,2013,4,577,10273,0.1892374574126351,0.3043987345468704,0.1326673999805315,1,1,0,0,9760.0,6818.75,-0.051431209602954754,7.7,0.6769103
68,8,Barcelona,8194,Sant Adrià de Besòs,819402,9.30247858017136,25,35,6.31,1,1,27774.0,21,34189,0.54,0.4,2013,4,374,9055,0.1520536388735505,0.2748712976256212,0.1343135615681944,1,0,1,0,9760.0,6818.75,-0.05381400208986416,7.7,0.6769103
69,8,Barcelona,8194,Sant Adrià de Besòs,819403,10.5819461556095,21,30,5.74,0,0,63918.18,21,27253,0.54,0.4,2013,4,20,1075,0.2633,0.2171,0.2121,0,1,0,0,9760.0,6818.75,1.7564102564102564,7.7,0.6769103
